B2dec,B3dec,B4dec,B5dec,B6dec,B7dec,B8dec,B8Adec,B11dec,B12dec,B2jan,B3jan,B4jan,B5jan,B6jan,B7jan,B8jan,B8Ajan,B11jan,B12jan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1183.5555555555557,1118.6666666666667,1196.4444444444443,1475.6666666666667,1922.9444444444443,2255.222222222222,2199.222222222222,2612.0,2630.5555555555557,1577.7222222222222,1183.5555555555557,1118.6666666666667,1196.4444444444443,1475.6666666666667,1922.9444444444443,2255.222222222222,2199.222222222222,2612.0,2630.5555555555557,1577.7222222222222
1180.0555555555557,1125.388888888889,1231.7777777777778,1502.5555555555557,2058.777777777778,2405.0,2447.9444444444443,2742.277777777778,2757.4444444444443,1612.3333333333333,1180.0555555555557,1125.388888888889,1231.7777777777778,1502.5555555555557,2058.777777777778,2405.0,2447.9444444444443,2742.277777777778,2757.4444444444443,1612.3333333333333
1210.2777777777778,1158.5,1344.0,1566.5555555555557,2071.3333333333335,2423.0,2385.9444444444443,2767.722222222222,2948.6666666666665,1759.2222222222222,1210.2777777777778,1158.5,1344.0,1566.5555555555557,2071.3333333333335,2423.0,2385.9444444444443,2767.722222222222,2948.6666666666665,1759.2222222222222
1174.5555555555557,1102.9444444444443,1208.0,1474.0,1892.6666666666667,2222.777777777778,2183.4444444444443,2611.6111111111113,2608.9444444444443,1509.1666666666667,1174.5555555555557,1102.9444444444443,1208.0,1474.0,1892.6666666666667,2222.777777777778,2183.4444444444443,2611.6111111111113,2608.9444444444443,1509.1666666666667
1141.6666666666667,1061.888888888889,1107.3333333333333,1392.6666666666667,1827.2222222222222,2131.3333333333335,2130.1666666666665,2524.6111111111113,2270.0555555555557,1252.7222222222222,1141.6666666666667,1061.888888888889,1107.3333333333333,1392.6666666666667,1827.2222222222222,2131.3333333333335,2130.1666666666665,2524.6111111111113,2270.0555555555557,1252.7222222222222
1107.6666666666667,1030.6666666666667,1008.0,1324.888888888889,1805.9444444444443,2110.8888888888887,2092.4444444444443,2474.4444444444443,2137.1666666666665,1137.388888888889,1107.6666666666667,1030.6666666666667,1008.0,1324.888888888889,1805.9444444444443,2110.8888888888887,2092.4444444444443,2474.4444444444443,2137.1666666666665,1137.388888888889
1113.9444444444443,1014.6111111111111,1032.9444444444443,1303.2777777777778,1847.2777777777778,2175.4444444444443,2220.0555555555557,2569.3888888888887,2143.1666666666665,1175.8333333333333,1113.9444444444443,1014.6111111111111,1032.9444444444443,1303.2777777777778,1847.2777777777778,2175.4444444444443,2220.0555555555557,2569.3888888888887,2143.1666666666665,1175.8333333333333
1140.111111111111,1030.7222222222222,1080.6666666666667,1361.1666666666667,1855.5,2186.1111111111113,2227.8888888888887,2612.6111111111113,2238.1666666666665,1270.9444444444443,1140.111111111111,1030.7222222222222,1080.6666666666667,1361.1666666666667,1855.5,2186.1111111111113,2227.8888888888887,2612.6111111111113,2238.1666666666665,1270.9444444444443
1159.4444444444443,1075.6666666666667,1177.611111111111,1425.611111111111,1847.111111111111,2154.6666666666665,2174.5,2576.5,2461.0,1460.0,1159.4444444444443,1075.6666666666667,1177.611111111111,1425.611111111111,1847.111111111111,2154.6666666666665,2174.5,2576.5,2461.0,1460.0
1194.388888888889,1110.0555555555557,1239.6666666666667,1494.2777777777778,1936.888888888889,2270.5555555555557,2294.1666666666665,2667.3888888888887,2654.777777777778,1552.2222222222222,1194.388888888889,1110.0555555555557,1239.6666666666667,1494.2777777777778,1936.888888888889,2270.5555555555557,2294.1666666666665,2667.3888888888887,2654.777777777778,1552.2222222222222
1323.5555555555557,1251.7222222222222,1402.888888888889,1592.9444444444443,2030.0,2322.1666666666665,2298.777777777778,2684.777777777778,2818.0555555555557,1770.7777777777778,1323.5555555555557,1251.7222222222222,1402.888888888889,1592.9444444444443,2030.0,2322.1666666666665,2298.777777777778,2684.777777777778,2818.0555555555557,1770.7777777777778
1189.7222222222222,1121.111111111111,1227.5555555555557,1522.5,2005.4444444444443,2335.9444444444443,2338.0555555555557,2712.4444444444443,2651.0555555555557,1587.6666666666667,1189.7222222222222,1121.111111111111,1227.5555555555557,1522.5,2005.4444444444443,2335.9444444444443,2338.0555555555557,2712.4444444444443,2651.0555555555557,1587.6666666666667
1160.9444444444443,1101.888888888889,1168.7222222222222,1495.2777777777778,2047.1666666666667,2394.9444444444443,2368.777777777778,2771.8333333333335,2549.6666666666665,1491.9444444444443,1160.9444444444443,1101.888888888889,1168.7222222222222,1495.2777777777778,2047.1666666666667,2394.9444444444443,2368.777777777778,2771.8333333333335,2549.6666666666665,1491.9444444444443
1164.0,1098.611111111111,1177.5,1492.9444444444443,2025.5,2367.6111111111113,2352.222222222222,2744.277777777778,2584.222222222222,1549.9444444444443,1164.0,1098.611111111111,1177.5,1492.9444444444443,2025.5,2367.6111111111113,2352.222222222222,2744.277777777778,2584.222222222222,1549.9444444444443
1179.1666666666667,1116.888888888889,1205.1666666666667,1489.3333333333333,1996.5,2328.0,2301.6666666666665,2700.277777777778,2686.6666666666665,1729.111111111111,1179.1666666666667,1116.888888888889,1205.1666666666667,1489.3333333333333,1996.5,2328.0,2301.6666666666665,2700.277777777778,2686.6666666666665,1729.111111111111
1258.7777777777778,1223.2222222222222,1422.7777777777778,1623.7777777777778,2073.277777777778,2364.1111111111113,2350.1111111111113,2743.3888888888887,3116.222222222222,2058.6666666666665,1258.7777777777778,1223.2222222222222,1422.7777777777778,1623.7777777777778,2073.277777777778,2364.1111111111113,2350.1111111111113,2743.3888888888887,3116.222222222222,2058.6666666666665
1274.3333333333333,1241.888888888889,1475.888888888889,1658.388888888889,2086.6666666666665,2398.5,2368.3888888888887,2758.8333333333335,3332.1111111111113,2152.277777777778,1274.3333333333333,1241.888888888889,1475.888888888889,1658.388888888889,2086.6666666666665,2398.5,2368.3888888888887,2758.8333333333335,3332.1111111111113,2152.277777777778
1274.5,1237.9444444444443,1427.5,1659.5,2105.6666666666665,2425.9444444444443,2365.6111111111113,2766.0555555555557,3277.8888888888887,2122.6111111111113,1274.5,1237.9444444444443,1427.5,1659.5,2105.6666666666665,2425.9444444444443,2365.6111111111113,2766.0555555555557,3277.8888888888887,2122.6111111111113
1276.5555555555557,1239.5,1445.111111111111,1677.0555555555557,2111.0555555555557,2453.8333333333335,2394.277777777778,2810.9444444444443,3228.277777777778,1988.7777777777778,1276.5555555555557,1239.5,1445.111111111111,1677.0555555555557,2111.0555555555557,2453.8333333333335,2394.277777777778,2810.9444444444443,3228.277777777778,1988.7777777777778
